Slant cell length,Cell thickness,Cell angle,Vertical cell length,Poisson's ratio
18,3.4,70,60,-0.1773464
20,2,70,60,-0.23484953
20,2.2,70,60,-0.25301499
20,2.4,70,60,-0.25829273
20,2.6,70,60,-0.26000653
20,2.8,70,60,-0.26001992
20,3,70,60,-0.26027821
20,3.2,70,60,-0.25991565
20,3.4,70,60,-0.25826997
4,2,70,65,0.01997526
4,2.2,70,65,0.02294629
4,2.4,70,65,0.02532502
4,2.6,70,65,0.0288849
4,2.8,70,65,0.03294581
4,3,70,65,0.03696117
4,3.2,70,65,0.04100737
4,3.4,70,65,0.04531869
6,2,70,65,0.02075068
6,2.2,70,65,0.02124254
6,2.4,70,65,0.02277799
6,2.6,70,65,0.0254595
6,2.8,70,65,0.02885991
6,3,70,65,0.03279212
6,3.2,70,65,0.03656606
6,3.4,70,65,0.0406743
8,2,70,65,0.02368416
8,2.2,70,65,0.01791036
8,2.4,70,65,0.01526222
8,2.6,70,65,0.01750576
8,2.8,70,65,0.01968507
8,3,70,65,0.02236255
8,3.2,70,65,0.02558033
8,3.4,70,65,0.02938741
10,2,70,65,0.02469623
10,2.2,70,65,0.01114777
10,2.4,70,65,0.00287863
10,2.6,70,65,0.00151119
10,2.8,70,65,0.00318681
10,3,70,65,0.00535017
10,3.2,70,65,0.00752794
10,3.4,70,65,0.01043861
12,2,70,65,0.00639653
12,2.2,70,65,-0.00488587
12,2.4,70,65,-0.02067399
12,2.6,70,65,-0.02230855
12,2.8,70,65,-0.0218983
12,3,70,65,-0.02099321
12,3.2,70,65,-0.01887856
12,3.4,70,65,-0.01658101
14,2,70,65,-0.02030541
14,2.2,70,65,-0.03084912
14,2.4,70,65,-0.05376393
14,2.6,70,65,-0.05635554
14,2.8,70,65,-0.05674987
14,3,70,65,-0.05663953
14,3.2,70,65,-0.05567599
14,3.4,70,65,-0.05337184
16,2,70,65,-0.0546487
16,2.2,70,65,-0.07355971
16,2.4,70,65,-0.09971351
16,2.6,70,65,-0.10300651
16,2.8,70,65,-0.10373585
16,3,70,65,-0.10382344
16,3.2,70,65,-0.10302109
16,3.4,70,65,-0.10105534
18,2,70,65,-0.10396287
18,2.2,70,65,-0.14358516
18,2.4,70,65,-0.15963385
18,2.6,70,65,-0.1628044
18,2.8,70,65,-0.16300652
18,3,70,65,-0.16364938
18,3.2,70,65,-0.16255499
18,3.4,70,65,-0.16056337
20,2,70,65,-0.19521305
20,2.2,70,65,-0.23070588
20,2.4,70,65,-0.2387177
20,2.6,70,65,-0.23855522
20,2.8,70,65,-0.23807094
20,3,70,65,-0.23756718
20,3.2,70,65,-0.23666355
20,3.4,70,65,-0.23383641
4,2,70,70,0.0184446
4,2.2,70,70,0.02112911
4,2.4,70,70,0.02336192
4,2.6,70,70,0.02693198
4,2.8,70,70,0.03043684
4,3,70,70,0.03399672
4,3.2,70,70,0.03759565
4,3.4,70,70,0.04148771
6,2,70,70,0.01973986
6,2.2,70,70,0.0202758
6,2.4,70,70,0.02158779
6,2.6,70,70,0.02407011
6,2.8,70,70,0.02638884
6,3,70,70,0.03035105
6,3.2,70,70,0.03361714
6,3.4,70,70,0.03734493
8,2,70,70,0.02627752
8,2.2,70,70,0.01837461
8,2.4,70,70,0.01573374
8,2.6,70,70,0.01662344
8,2.8,70,70,0.0185899
8,3,70,70,0.02154935
8,3.2,70,70,0.02393978
8,3.4,70,70,0.02709556
10,2,70,70,0.09305859
10,2.2,70,70,0.0116589
10,2.4,70,70,0.00596905
10,2.6,70,70,0.00382157
10,2.8,70,70,0.0038874
10,3,70,70,0.00587818
10,3.2,70,70,0.0073954
10,3.4,70,70,0.01028683
12,2,70,70,0.03178451
12,2.2,70,70,-0.00194926
12,2.4,70,70,-0.0114009
12,2.6,70,70,-0.01785848
12,2.8,70,70,-0.01929591
12,3,70,70,-0.01773107
12,3.2,70,70,-0.01699533
12,3.4,70,70,-0.01455552
14,2,70,70,-0.00170332
14,2.2,70,70,-0.02274738
14,2.4,70,70,-0.04179028
14,2.6,70,70,-0.04959543
14,2.8,70,70,-0.05144146
14,3,70,70,-0.0506406
14,3.2,70,70,-0.0500553
14,3.4,70,70,-0.04789614
16,2,70,70,-0.04430839
16,2.2,70,70,-0.05757599
16,2.4,70,70,-0.08586726
16,2.6,70,70,-0.09316176
16,2.8,70,70,-0.09419744
16,3,70,70,-0.09418311
16,3.2,70,70,-0.09385751
16,3.4,70,70,-0.09172483
18,2,70,70,-0.0885721
18,2.2,70,70,-0.11377054
18,2.4,70,70,-0.14528359
18,2.6,70,70,-0.14954829
18,2.8,70,70,-0.15048481
18,3,70,70,-0.14926617
18,3.2,70,70,-0.14946373
18,3.4,70,70,-0.14668792
20,2,70,70,-0.15512767
20,2.2,70,70,-0.19906868
20,2.4,70,70,-0.21989467
20,2.6,70,70,-0.22184434
20,2.8,70,70,-0.22057625
20,3,70,70,-0.21942177
20,3.2,70,70,-0.2168182
20,3.4,70,70,-0.21434554
4,2,70,75,0.01701858
4,2.2,70,75,0.01947396
4,2.4,70,75,0.021626
4,2.6,70,75,0.02461289
4,2.8,70,75,0.02779133
4,3,70,75,0.03144375
4,3.2,70,75,0.03459597
4,3.4,70,75,0.03814739
6,2,70,75,0.01968268
6,2.2,70,75,0.01921719
6,2.4,70,75,0.0201847
6,2.6,70,75,0.02206228
6,2.8,70,75,0.02503876
6,3,70,75,0.02792895
6,3.2,70,75,0.03127754
6,3.4,70,75,0.0346128
8,2,70,75,0.04808223
8,2.2,70,75,0.01832495
8,2.4,70,75,0.01575491
8,2.6,70,75,0.01562561
8,2.8,70,75,0.01775268
8,3,70,75,0.02012361
8,3.2,70,75,0.0223874
8,3.4,70,75,0.02532325
10,2,70,75,0.08412938
10,2.2,70,75,0.01286976
10,2.4,70,75,0.00806061
10,2.6,70,75,0.00544077
10,2.8,70,75,0.0044269
10,3,70,75,0.00565196
10,3.2,70,75,0.00776569
10,3.4,70,75,0.01025785
12,2,70,75,0.13329643
12,2.2,70,75,0.00100416
12,2.4,70,75,-0.00607482
12,2.6,70,75,-0.01270088
12,2.8,70,75,-0.01536712
12,3,70,75,-0.01570157
12,3.2,70,75,-0.01423324
12,3.4,70,75,-0.01226529
14,2,70,75,0.12190671
14,2.2,70,75,-0.01809831
14,2.4,70,75,-0.0308857
14,2.6,70,75,-0.03997667
14,2.8,70,75,-0.04560687
14,3,70,75,-0.04594025
14,3.2,70,75,-0.04558059
14,3.4,70,75,-0.04339882
16,2,70,75,-0.01937966
16,2.2,70,75,-0.0501515
16,2.4,70,75,-0.07034716
16,2.6,70,75,-0.08209804
16,2.8,70,75,-0.08640637
16,3,70,75,-0.08683591
16,3.2,70,75,-0.08614266
16,3.4,70,75,-0.08395722
18,2,70,75,-0.07805658
18,2.2,70,75,-0.0951474
18,2.4,70,75,-0.12916855
18,2.6,70,75,-0.1375932
18,2.8,70,75,-0.1381527
18,3,70,75,-0.13846942
18,3.2,70,75,-0.13694547
18,3.4,70,75,-0.13495622
20,2,70,75,-0.13538383
20,2.2,70,75,-0.16649752
20,2.4,70,75,-0.20170781
